id acc rt angle
34 1 2.399 50
35 1 2.752 50
36 1 1.195 50
37 1 5.326 50
38 1 1.344 50
39 1 3.221 50
40 1 1.605 50
41 1 3.229 50
42 1 2.136 50
43 1 1.917 50
44 1 3.132 50
45 1 1.844 50
46 1 3.564 50
47 1 1.876 50
48 1 4.428 50
49 1 2.125 50
50 1 1.684 50
51 1 3.012 50
52 1 1.72 50
53 1 1.947 50
54 1 3.244 50
55 1 1.101 50
56 1 1.508 50
57 0 1.084 50
58 1 1.995 50
59 1 1.78 50
60 1 1.508 50
61 1 1.272 50
62 1 1.924 50
63 1 1.94 50
64 1 2.107 50
65 1 3.484 50
66 1 2.884 50
67 1 3.284 50
68 1 4.276 50
69 0 1.669 50
70 1 2.043 50
71 1 2.269 50
72 1 3.02 50
73 1 2.164 50
74 1 2.244 50
75 0 2.789 50
76 1 2.709 50
77 1 3.989 50
78 0 3.5 50
79 1 1.437 50
80 1 2.356 50
81 1 2.18 50
82 1 3.887 50
83 1 3.708 50
84 1 4.479 50
85 1 1.866 50
86 1 1.56 50
87 1 3.617 50
88 1 1.712 50
89 0 6.733 50
90 1 4.196 50
91 1 2.694 50
92 1 2.019 50
93 1 1.883 50
94 1 2.941 50
95 0 4.261 50
96 0 5.335 50
97 0 NA 50
98 1 1.419 50
99 1 4.2 50
100 1 5.308 50
101 1 2.258 50
102 1 1.652 50
103 1 2.077 50
104 1 3.453 50
105 1 2.073 50
106 1 1.751 50
107 0 1.871 50
108 1 1.842 50
109 1 2.056 50
110 1 1.893 50
111 1 2.453 50
112 1 4.66 50
113 1 2.554 50
114 1 2.403 50
115 1 1.525 50
116 1 1.051 50
117 1 2.796 50
118 1 2.659 50
119 1 2.099 50
120 1 3.904 50
121 1 4.481 50
1 1 2.607 100
2 1 3.187 100
3 1 1.04 100
4 1 2.007 100
5 1 2.114 100
6 1 2.015 100
7 1 1.098 100
8 1 2.926 100
9 1 1.895 100
10 1 3.126 100
11 1 1.013 100
12 1 4.028 100
13 1 1.258 100
14 1 1.917 100
15 1 1.852 100
16 1 2.436 100
17 1 1.955 100
18 1 3.215 100
19 1 1.048 100
20 1 NA 100
21 1 1.729 100
22 1 1.835 100
23 1 3.543 100
24 1 3.14 100
25 1 2.238 100
26 1 2.92 100
27 1 2.12 100
28 1 3.656 100
29 1 1.879 100
30 1 3.738 100
31 1 2.13 100
32 1 1.135 100
33 1 2.915 100
34 1 1.923 100
35 1 3.541 100
36 1 2.112 100
37 1 3.577 100
38 1 2.842 100
39 1 2.471 100
40 1 1.356 100
41 1 2.96 100
42 1 2.233 100
43 1 2.866 100
44 1 3.267 100
45 0 2.971 100
46 1 4.355 100
47 1 3.091 100
48 1 3.164 100
49 1 3.308 100
50 1 2.324 100
51 1 2.099 100
52 1 5.044 100
53 1 2.515 100
54 1 4.042 100
55 1 1.971 100
56 1 2.251 100
57 0 1.011 100
58 0 1.844 100
59 1 2.02 100
60 1 2.251 100
61 1 0.961 100
62 0 3.835 100
63 1 2.54 100
64 1 3.147 100
65 1 3.739 100
66 1 2.82 100
67 1 2.963 100
68 0 7.267 100
69 1 2.003 100
70 0 3.132 100
71 1 2.876 100
72 0 NA 100
73 1 2.932 100
74 1 2.795 100
75 1 3.179 100
76 1 5.853 100
77 1 3.82 100
78 1 2.118 100
79 0 2.906 100
80 0 2.052 100
81 1 1.747 100
82 0 4.106 100
83 0 3.212 100
84 1 1.941 100
85 1 3.368 100
86 1 1.498 100
87 1 3.262 100
88 1 2.173 100
89 1 2.1 100
90 1 3.822 100
91 1 2.144 100
92 1 2.678 100
93 1 1.735 100
94 1 2.723 100
95 1 2.419 100
96 0 7.059 100
97 1 3.464 100
98 1 2.427 100
99 1 2.397 100
100 1 1.541 100
101 0 3.601 100
102 1 2.671 100
103 1 1.528 100
104 1 2.365 100
105 1 1.882 100
106 1 1.965 100
107 1 3.301 100
108 0 1.579 100
109 1 5.43 100
110 1 1.842 100
111 1 2.989 100
112 1 2.807 100
113 1 2.399 100
114 1 2.509 100
115 1 1.776 100
116 1 1.744 100
117 1 1.357 100
118 1 3.258 100
119 1 1.692 100
120 1 3.52 100
121 1 2.913 100
1 1 3.126 150
2 1 4.721 150
3 1 1.244 150
4 1 1.644 150
5 1 1.89 150
6 1 2.905 150
7 1 2.007 150
8 1 4.487 150
9 1 1.507 150
10 1 1.806 150
11 1 1.574 150
12 1 5.581 150
13 1 1.365 150
14 1 4.554 150
15 1 2.36 150
16 1 3.698 150
17 1 1.985 150
18 1 2.95 150
19 1 1.366 150
20 1 3.749 150
21 1 1.722 150
22 1 1.843 150
23 1 2.575 150
24 1 2.436 150
25 1 1.727 150
26 1 3.897 150
27 1 4.262 150
28 1 2.859 150
29 1 5.008 150
30 1 2.289 150
31 1 3.755 150
32 1 1.338 150
33 1 2.779 150
34 1 2.899 150
35 1 2.794 150
36 1 2.448 150
37 1 3.063 150
38 1 3.126 150
39 1 2.681 150
40 1 1.484 150
41 1 0.689 150
42 1 1.577 150
43 1 1.884 150
44 1 3.193 150
45 1 2.797 150
46 1 5.58 150
47 1 1.844 150
48 1 3.571 150
49 1 4.924 150
50 1 3.339 150
51 1 2.268 150
52 1 3.27 150
53 1 2.404 150
54 1 4.459 150
55 0 1.176 150
56 1 2.852 150
57 0 1.067 150
58 1 2.26 150
59 1 5.748 150
60 1 2.852 150
61 1 0.878 150
62 1 3.741 150
63 1 2.509 150
64 1 3.724 150
65 0 5.932 150
66 1 2.22 150
67 1 3.724 150
68 1 NA 150
69 0 1.62 150
70 1 3.26 150
71 0 NA 150
72 0 3.86 150
73 1 3.605 150
74 1 3.051 150
75 1 3.692 150
76 1 2.829 150
77 1 3.82 150
78 1 2.044 150
79 1 1.837 150
80 1 2.331 150
81 1 1.884 150
82 0 5.159 150
83 1 4.332 150
84 1 4.034 150
85 0 2.602 150
86 1 2.965 150
87 1 6.129 150
88 1 1.853 150
89 0 5.386 150
90 1 3.722 150
91 0 4.428 150
92 1 2.421 150
93 1 2.351 150
94 1 4.782 150
95 1 4.084 150
96 1 3.724 150
97 1 3.607 150
98 1 3.246 150
99 1 3.125 150
100 1 4.412 150
101 1 4.025 150
102 1 2.23 150
103 1 2.128 150
104 1 3.755 150
105 1 3.596 150
106 1 2.267 150
107 0 5.091 150
108 1 2.88 150
109 1 2.711 150
110 1 3.3 150
111 1 2.103 150
112 1 3.897 150
113 1 2.778 150
114 1 4.143 150
115 1 1.878 150
116 0 3.034 150
117 1 3.431 150
118 1 3.288 150
119 1 2.493 150
120 1 5.11 150
121 1 6.212 150
1 1 2.869 50
2 1 3.056 50
3 1 1.743 50
4 1 2.253 50
5 1 1.683 50
6 1 2.539 50
7 1 5.225 50
8 1 1.552 50
9 1 0.965 50
10 1 1.542 50
11 1 0.966 50
12 1 3.964 50
13 1 0.756 50
14 1 1.663 50
15 1 1.481 50
16 1 1.968 50
17 1 1.469 50
18 1 1.79 50
19 1 0.821 50
20 1 3.256 50
21 1 1.215 50
22 1 1.387 50
23 1 0.909 50
24 1 3.218 50
25 1 1.305 50
26 1 3.268 50
27 1 1.319 50
28 1 4.467 50
29 1 2.082 50
30 1 1.526 50
31 1 1.461 50
32 1 1.202 50
33 1 2.342 50
34 1 1.039 50
35 1 3.94 50
36 1 1.58 50
37 1 3.195 50
38 1 1.665 50
39 1 1.868 50
40 1 1.349 50
41 1 2.052 50
42 1 2.367 50
43 1 1.927 50
44 1 2.632 50
45 1 1.298 50
46 1 4.595 50
47 1 2.29 50
48 1 2.506 50
49 1 1.882 50
50 1 3.163 50
51 1 3.338 50
52 1 3.24 50
53 1 2.649 50
54 1 4.193 50
55 1 1.217 50
56 1 1.249 50
57 0 0.961 50
58 1 2.243 50
59 1 1.339 50
60 1 1.249 50
61 1 0.921 50
62 1 1.329 50
63 1 1.754 50
64 1 4.882 50
65 1 5.586 50
66 1 2.905 50
67 1 2.794 50
68 1 4.595 50
69 1 1.977 50
70 1 2.506 50
71 1 2.197 50
72 1 2.842 50
73 1 2.977 50
74 1 2.298 50
75 1 2.642 50
76 1 2.755 50
77 1 2.858 50
78 0 1.506 50
79 1 2.018 50
80 1 2.971 50
81 1 1.418 50
82 1 3.074 50
83 1 2.236 50
84 1 1.474 50
85 1 1.351 50
86 1 4.199 50
87 1 5.688 50
88 1 0.918 50
89 0 3.985 50
90 1 2.32 50
91 1 5.637 50
92 1 3.302 50
93 1 1.046 50
94 1 1.764 50
95 1 2.489 50
96 0 NA 50
97 1 3.071 50
98 1 2.105 50
99 1 3.472 50
100 1 3.333 50
101 1 2.239 50
102 1 1.64 50
103 1 1.329 50
104 1 1.152 50
105 1 2.699 50
106 1 1.938 50
107 1 1.273 50
108 1 1.865 50
109 1 3.55 50
110 1 1.404 50
111 1 1.213 50
112 1 2.269 50
113 0 4.588 50
114 1 2.108 50
115 1 1.709 50
116 1 1.93 50
117 1 1.292 50
118 1 2.366 50
119 1 1.973 50
120 1 1.855 50
121 1 3.078 50
1 1 3.271 150
2 1 4.404 150
3 1 1.842 150
4 1 1.3 150
5 1 1.633 150
6 1 3.488 150
7 1 2.159 150
8 1 2.048 150
9 1 3.049 150
10 1 2.25 150
11 1 1.203 150
12 1 4.697 150
13 1 1.063 150
14 1 2.97 150
15 1 2.413 150
16 1 3.435 150
17 1 2.744 150
18 1 2.55 150
19 1 1.38 150
20 1 4.036 150
21 1 1.24 150
22 1 3.416 150
23 1 3.851 150
24 1 2.893 150
25 1 1.241 150
26 1 NA 150
27 1 3.321 150
28 1 NA 150
29 1 3.315 150
30 1 1.508 150
31 1 3.808 150
32 1 1.302 150
33 1 2.929 150
34 1 1.531 150
35 1 4.089 150
36 1 2.291 150
37 1 4.32 150
38 1 1.916 150
39 1 3.162 150
40 1 0.979 150
41 1 2.539 150
42 1 1.994 150
43 1 1.991 150
44 0 4.837 150
45 1 3.435 150
46 1 2.522 150
47 0 2.642 150
48 1 2.514 150
49 1 2.979 150
50 1 3.5 150
51 1 2.802 150
52 1 2.061 150
53 1 2.77 150
54 0 3.86 150
55 1 1.774 150
56 1 1.867 150
57 1 1.49 150
58 1 2.787 150
59 1 1.202 150
60 1 1.867 150
61 0 0.882 150
62 1 2.211 150
63 1 2.851 150
64 1 3.307 150
65 1 4.009 150
66 1 4.379 150
67 1 3.266 150
68 0 4.379 150
69 1 2.45 150
70 1 3.954 150
71 1 1.985 150
72 1 4.698 150
73 1 5.851 150
74 1 2.794 150
75 1 3.483 150
76 1 2.491 150
77 1 2.411 150
78 1 3.3 150
79 1 3.443 150
80 1 2.715 150
81 1 3.579 150
82 1 3.906 150
83 1 3.551 150
84 1 5.125 150
85 0 3.219 150
86 0 2.451 150
87 1 3.962 150
88 1 1.376 150
89 1 3.806 150
90 1 4.746 150
91 1 4.939 150
92 1 3.013 150
93 1 2.733 150
94 1 2.062 150
95 1 4.434 150
96 1 6.299 150
97 1 3.724 150
98 0 4.79 150
99 1 1.905 150
100 1 3.621 150
101 1 3.109 150
102 1 2.948 150
103 1 1.848 150
104 1 5.003 150
105 0 5.11 150
106 1 6.578 150
107 1 2.536 150
108 0 1.331 150
109 1 2.698 150
110 1 1.579 150
111 0 3.118 150
112 0 NA 150
113 1 2.114 150
114 1 3.615 150
115 1 2.414 150
116 0 3.119 150
117 1 3.933 150
118 1 3.755 150
119 1 2.488 150
120 0 1.627 150
121 0 2.059 150
1 1 5.447 100
2 1 3.867 100
3 1 1.377 100
4 1 2.424 100
5 1 2.262 100
6 1 NA 100
7 1 2.429 100
8 1 3.31 100
9 1 1.761 100
10 1 5.18 100
11 1 2.07 100
12 1 5.366 100
13 1 2.455 100
14 1 3.671 100
15 1 4.137 100
16 1 3.233 100
17 1 3.099 100
18 1 2.019 100
19 1 3.239 100
20 1 5.698 100
21 1 3.037 100
22 1 2.121 100
23 1 2.157 100
24 1 5.965 100
25 1 2.332 100
26 1 4.624 100
27 1 5.383 100
28 1 2.17 100
29 1 5.227 100
30 1 2.213 100
31 1 3.735 100
32 1 2.126 100
33 1 3.701 100
34 1 2.705 100
35 1 4.11 100
36 1 2.485 100
37 1 2.786 100
38 1 3.276 100
39 1 4.764 100
40 1 2.785 100
41 1 0.923 100
42 1 2 100
43 1 NA 100
44 0 4.478 100
45 1 5.316 100
46 1 6.812 100
47 1 5.531 100
48 1 3.972 100
49 1 4.196 100
50 0 NA 100
51 1 4.94 100
52 1 4.147 100
53 1 6.404 100
54 0 2.371 100
55 1 4.937 100
56 1 3.683 100
57 0 1.14 100
58 1 4.971 100
59 1 2.851 100
60 1 3.683 100
61 1 0.936 100
62 1 5.284 100
63 1 5.476 100
64 0 NA 100
65 0 NA 100
66 1 5.172 100
67 1 3.893 100
68 1 4.363 100
69 1 2.532 100
70 1 4.636 100
71 0 3.334 100
72 0 3.676 100
73 0 NA 100
74 1 5.867 100
75 1 3.771 100
76 0 NA 100
77 1 3.581 100
78 1 3.339 100
79 1 5.004 100
80 1 2.531 100
81 0 2.644 100
82 1 5.792 100
83 0 2.585 100
84 1 4.807 100
85 0 2.378 100
86 1 5.443 100
87 0 NA 100
88 0 1.63 100
89 1 5.678 100
90 0 2.923 100
91 1 4.384 100
92 0 4.143 100
93 1 2.739 100
94 1 4.744 100
95 0 4.89 100
96 0 NA 100
97 1 6.721 100
98 1 3.67 100
99 1 4.764 100
100 1 5.894 100
101 1 4.699 100
102 0 2.959 100
103 1 6.894 100
104 1 3.559 100
105 1 4.278 100
106 1 3.506 100
107 1 3.317 100
108 1 3.551 100
109 1 5.742 100
110 0 6.202 100
111 1 2.047 100
112 1 3.3 100
113 0 2.948 100
114 1 4.948 100
115 1 4.541 100
116 1 2.642 100
117 1 3.314 100
118 1 4.664 100
119 1 2.971 100
120 1 4.748 100
121 0 7.262 100
